cell,delta_lower,delta_upper,endpoint_real_lower,distance_real_lower,argument_norm_upper
135,0.2151346206665039,0.21672821044921875,0.022530517044068388,0.11195933924484376,0.17525905473450584
136,0.21672821044921875,0.2183218002319336,0.02174215889342813,0.11283151908337954,0.17699720247129705
137,0.2183218002319336,0.21991539001464844,0.020953984261260133,0.11373773040919986,0.1787405847815496
138,0.21991539001464844,0.22150897979736328,0.02016623650081182,0.11467882042258044,0.18048912707984857
139,0.22150897979736328,0.22310256958007812,0.019379163380786654,0.11565563404752736,0.1822427530615087
140,0.22310256958007812,0.22469615936279297,0.018593016936986166,0.1166690130824677,0.18400138469280816
141,0.22469615936279297,0.2262897491455078,0.017808053313462288,0.11771979532589566,0.1857649422016652
142,0.2262897491455078,0.22788333892822266,0.017024532593017408,0.11880881367721559,0.1875333440687714
143,0.22788333892822266,0.2294769287109375,0.01624271861690572,0.11993689521309324,0.18930650701919338
144,0.2294769287109375,0.23107051849365234,0.0154628787935731,0.12110486023953339,0.19108434601446697
145,0.23107051849365234,0.2326641082763672,0.014685283896329915,0.12231352132017437,0.19286677424518864
146,0.2326641082763672,0.23425769805908203,0.013910207849818633,0.12356368228110833,0.19465370312412805
147,0.23425769805908203,0.23585128784179688,0.01313792750518954,0.12485613719277606,0.1964450422798731
148,0.23585128784179688,0.23744487762451172,0.012368722403884508,0.1261916693293947,0.19824069955102527
149,0.23744487762451172,0.23903846740722656,0.011602874529970168,0.12757105010655653,0.2000405809809576
150,0.23903846740722656,0.2406320571899414,0.010840668050956532,0.12899503799758613,0.20184459081315528
151,0.2406320571899414,0.24222564697265625,0.01008238904706759,0.13046437742936026,0.203652631487151
152,0.24222564697265625,0.2438192367553711,0.009328325228949262,0.13197979765835585,0.20546460363507252
153,0.2438192367553711,0.24541282653808594,0.008578765643813999,0.1335420116277222,0.2072804060788153
154,0.24541282653808594,0.24700641632080078,0.007834000370032604,0.13515171480619428,0.20909993582786204
155,0.24700641632080078,0.24860000610351562,0.0070943202002426336,0.1368095840099007,0.21092308807775442
156,0.24860000610351562,0.25019359588623047,0.006360016313001337,0.13851627620788629,0.21274975620924422
157,0.25019359588623047,0.2517871856689453,0.005631379933106596,0.14027242731256653,0.21457983178812637
158,0.2517871856689453,0.25338077545166016,0.004908701980666363,0.14207865095609754,0.2164132045657821
159,0.25338077545166016,0.254974365234375,0.00419227270906919,0.1439355372539128,0.21824976248043554
